포맷ID,포맷명,한줄정의,훅유형,구조(비트 단위로 초 배분까지),길이대,편집장치,촬영,자막스타일,제작난이도(상·중·하),필요장비,대표영상URL 3개,대표배수중앙값,국내약사사용계정수,국내약사사용영상수,국내최초사용일,국내최근사용일,소진도,인접버티컬사용,해외사용,이식가능성(상·중·하),이식근거,각색안,어떤주제와붙나,배정적합인물,우리사용이력,재사용가능일,상태,사람검토,사람메모
FMT-SYMPTOM-PHARMACY-3STEP-001,증상→약국 선택지 3단계,생활 증상에서 약국 선택지와 진료 필요 신호까지 3단계로 안내,질문형,0-2초 잘못된 대처 질문→2-18초 증상별 선택지 3개→18-28초 생활 관리·진료 신호→저장 CTA,30-45초,질문 자막·3단계 번호·위험 신호 강조,화면 자료 중심 릴스,증상과 선택지 대비·주의 문구,하,스마트폰·약품 이미지,https://www.instagram.com/ej_yaksa/reel/DbkuslGTffo/;https://www.instagram.com/ej_yaksa/reel/DbVcEs9z-2I/,,1,2,2026-08-04,2026-08-04,미측정,육아·피부·약물안전,미조사,상,잘못된 민간요법이나 선사용을 끊고 증상별 선택지와 위험 신호를 연결해 교육성과 저장성이 높음,김주성: 약물안전; 오약: 약국 상담; 선영: 육아·피부 건강,모기 물림·아기 땀띠·여름 피부 증상,김주성·오약·선영,미사용,,후보,,
FMT-PRODUCT-LABEL-RANKING-001,협찬 표기 성분표 랭킹,광고 표기를 밝힌 뒤 제품 성분표를 비교하고 순위를 매김,랭킹형,0-2초 협찬·광고 표기→2-18초 성분표 비교→18-25초 순위·구매 CTA,20-30초,순위 번호·성분명 강조·광고 표기,화면 자료 중심 릴스,성분표 대비·1위 강조,중,스마트폰·제품 패키지·성분표,https://www.instagram.com/yak.golnam/reel/DZZQhMXPvb3/;https://www.instagram.com/yak.golnam/reel/DZXZtUOv34_/,,1,2,2026-08-04,2026-08-04,미측정,식품·남성건강 광고,미조사,검토,광고 표기와 성분표 비교를 분리해 인지 부담을 낮추는 광고형 구조,김주성: 성분 비교; 오약: 약국 제품; 선영: 건강 소비자 교육,제품 비교·광고 판별·성분표 읽기,김주성·오약·선영,미사용,,후보,,
FMT-SUPPLEMENTS-TOP3-001,필수 영양제 TOP3 우선순위,영양제 목록을 필요 순서 3개로 압축하고 섭취 상담 CTA로 연결,목록형,0-2초 돈 절약 질문→2-18초 필수 성분 3개→18-25초 용량·방법 CTA,20-30초,TOP3 번호·성분명 강조·광고 아님 배지,화면 자료 중심 릴스,성분명 대비·우선순위 숫자,하,스마트폰·성분 이미지,https://www.instagram.com/hisutamine/reel/DbNyslZPO3J/,,1,1,2026-08-04,2026-08-04,미측정,직장인 건강·영양제,미조사,상,광고 배제 문구와 3개 우선순위를 결합해 정보 선택 부담을 낮춤,김주성: 영양 성분; 오약: 약국 상담; 선영: 직장인 건강,기본 영양제·복용 순서·상담 CTA,김주성·오약·선영,미사용,,후보,,
FMT-PRODUCT-SCORECARD-001,제품 성분표 4항목 점수표,제품을 함량·성분·가격·맛 4개 기준으로 점수화해 총점과 대안을 제시,점수형,0-2초 제품 선택 질문→2-35초 4항목 점수→35-50초 총점·대안→저장 CTA,45-60초,항목별 점수·영양 수치·장단점 대비,화면 자료 중심 릴스,점수 숫자·영양 수치·장단점 색상 대비,중,스마트폰·제품 패키지·성분표,https://www.instagram.com/hisutamine/reel/Da_sX41Ppuc/,,1,1,2026-08-04,2026-08-04,미측정,식품·다이어트·제품비교,미조사,상,수치와 점수를 함께 보여줘 구매 전 비교와 저장을 유도함,김주성: 성분 비교; 오약: 제품 상담; 선영: 다이어트 식단,단백질 쉐이크·라벨 해부·대체품 비교,김주성·오약·선영,미사용,,후보,,
FMT-GROUPBUY-DEADLINE-001,공동구매 마감 임박형,마감 시점을 먼저 제시한 뒤 제품 정보와 참여 행동을 연결,마감형,0-2초 마감 임박 훅→2-20초 제품 핵심→20-35초 혜택·주의→마감 CTA,20-35초,마감 자막·제품 패키지·기간 배지,제품 화면 중심 캐러셀,마감 시각·가격·공구 배지 대비,하,스마트폰·제품 패키지,https://www.instagram.com/yakstory119/p/DbnhRjhE-WW/,,1,1,2026-08-04,2026-08-04,미측정,영양제·제품비교,미조사,상,공동구매 마감 시점을 먼저 제시해 구매 행동을 빠르게 유도함,김주성: 성분 근거; 오약: 구매 상담; 선영: 생활 건강 제품,공동구매·마감 임박·제품 핵심 수치,김주성·오약·선영,미사용,,후보,,
FMT-LONGTERM-NUTRIENT-WARNING-001,장기복용 영양제 경고 목록형,오래 먹을 때 주의할 영양제와 돈 낭비 가능성을 두 목록으로 나눠 설명,경고형,0-3초 장기복용 경고→3-25초 독성 주의 목록→25-40초 효용 점검 목록→저장 CTA,30-45초,금지 표시·번호 목록·독성 대비,화면 자료 중심 릴스,번호·경고 아이콘·성분명 강조,하,스마트폰·성분 카드,https://www.instagram.com/yakstory119/reel/Dbhd2X_T553/,,1,1,2026-08-02,2026-08-02,미측정,영양제·약물안전,미조사,상,위험과 불필요한 장기복용을 분리해 점검 행동을 유도함,김주성: 복용 안전; 오약: 약국 상담; 선영: 다이어트 보충제 점검,영양제 장기복용·가르시니아·비타민B6·나이아신·홍국,김주성·오약·선영,미사용,,후보,,
FMT-COMPOSITION-MECHANISM-001,간영양제 기전·제품 구성형,기능별 기전을 네 가지로 나눈 뒤 대표 제품 조합을 제시,기전형,0-3초 간 피로 질문→3-20초 네 가지 기전→20-40초 제품 세 가지 비교→상담 CTA,30-45초,기전 번호·제품 카드·성분 연결선,화면 자료 중심 릴스,기전과 제품명을 같은 화면에 배치,중,스마트폰·제품 패키지·성분 카드,https://www.instagram.com/yakstory119/reel/DbZvtDUTK5H/,,1,1,2026-07-30,2026-07-30,미측정,영양제·약물안전·제품비교,미조사,상,기전 설명과 제품 구성을 연결해 약사 전문성을 드러냄,김주성: 성분 근거; 오약: 복용 상담; 선영: 음주 후 건강 관리,간영양제·밀크씨슬·글루타치온·TUDCA·커큐민,김주성·오약·선영,미사용,,후보,,
FMT-MECHANISM-5STEP-001,성분 작용 5단계 설명형,하나의 성분이 몸에서 작용하는 경로를 다섯 단계로 분해,메커니즘형,0-3초 성분 효능 질문→3-30초 작용 단계 1-5→30-45초 복용 대상·주의→저장 CTA,30-45초,단계 번호·화살표·장기 카드,화면 자료 중심 캐러셀,작용 경로 화살표와 핵심 성분을 반복 노출,중,스마트폰·기전 도식·성분 카드,https://www.instagram.com/yakstory119/p/DbST1XmEznT/,,1,1,2026-07-28,2026-07-28,미측정,영양제·대사,미조사,상,복잡한 작용 기전을 단계별로 분해해 이해와 저장을 돕는다,김주성: 대사 근거; 오약: 복용 대상; 선영: 체중 관리 주제,베르베린·혈당·인슐린 민감도·콜레스테롤·혈압,김주성·오약·선영,미사용,,후보,,
FMT-MEDICINE-QUIZ-001,상비약 7문항 퀴즈형,일반약과 복용 주의사항을 퀴즈로 풀게 해 성분 중복과 복용 간격을 기억하게 함,퀴즈형,0-2초 퀴즈 질문→2-30초 문항 1-7→30-45초 정답·주의→저장 CTA,30-45초,문항 번호·정답 공개·오답 경고,화면 자료 중심 릴스,문제·정답 대비,하,스마트폰·약품 카드,https://www.instagram.com/little_yaksa/reel/DbnHipfyF7W/,,1,1,2026-08-04,2026-08-04,미측정,약물안전·생활건강,미조사,상,문항별 복약 포인트를 짧게 설명해 저장과 재확인을 유도함,김주성: 복약 안전; 오약: 일반약 상담; 선영: 가정 상비약,상비약·일반약·아세트아미노펜·복용 간격,김주성·오약·선영,미사용,,후보,,
FMT-NUTRITION-RANKING-001,영양성분 단위당 순위형,같은 열량 또는 단위에서 영양성분을 비교해 선택 순위를 제시,랭킹형,0-2초 선택 질문→2-30초 1-11위 비교→30-40초 선택 팁→저장 CTA,30-45초,순위 번호·수치 카드·선택 팁,화면 자료 중심 릴스,수치·순위 강조,중,스마트폰·영양표 카드,https://www.instagram.com/little_yaksa/reel/DbkgnVNS6bg/,,1,1,2026-08-03,2026-08-03,미측정,식단·다이어트·제품비교,미조사,상,열량당 영양성분을 순위화해 주문 전 선택과 저장을 유도함,김주성: 영양성분 비교; 오약: 식단 상담; 선영: 다이어트 식단,치킨·단백질·열량·가공식품·다이어트,김주성·오약·선영,미사용,,후보,,
FMT-NUTRIENT-TIMETABLE-001,영양제 복용 시간표형,섭취 성분을 하루 시간대별로 배치하고 예외와 주의사항을 덧붙임,시간표형,0-3초 복용 시간 질문→3-35초 아침·점심·저녁·취침 배치→35-45초 제품 설명 우선 안내→저장 CTA,30-45초,시간대 축·성분 카드·주의 자막,화면 자료 중심 릴스,시간대별 색상·성분 아이콘,중,스마트폰·시간표 그래픽,https://www.instagram.com/little_yaksa/reel/DbSfZrqykJw/,,1,1,2026-07-28,2026-07-28,미측정,영양제·약물안전,미조사,상,시간대별 섭취 조건과 예외를 함께 제시해 복용 실수를 줄임,김주성: 성분 상호작용; 오약: 복용 상담; 선영: 생활 루틴,영양제 시간표·유산균·비타민B·코큐텐·오메가3·칼슘·마그네슘,김주성·오약·선영,미사용,,후보,,
FMT-BUY-DONTBUY-001,사요 안 사요 비교형,제품을 구매 권장과 보류 항목으로 나눠 원료·영양·가격 근거를 설명,양분형,0-3초 구매 질문→3-30초 사요 5개→30-55초 안 사요 5개→저장 CTA,45-60초,사요·안 사요 색상·제품 카드·근거 자막,제품 화면 중심 릴스,초록·빨강 대비,중,스마트폰·제품 패키지·영양표,https://www.instagram.com/little_yaksa/reel/DbaNtSpS8Jj/,,1,1,2026-07-30,2026-07-30,미측정,영양제·제품비교,미조사,상,구매 권장과 보류 항목을 같은 기준으로 비교해 선택 부담을 줄임,김주성: 성분 근거; 오약: 제품 상담; 선영: 생활 건강 제품,다이소 영양제·단백질·홍삼·가르시니아·유산균·가성비,김주성·오약·선영,미사용,,후보,,
FMT-DRUG-COMPARISON-001,GLP-1 두 약 비교·상황별 선택형,처방 비만치료제 두 가지를 효과·부작용·데이터·가격 축으로 비교,비교형,0-2초 선택 질문→2-30초 효과·부작용·안전성·가격 비교→30-45초 상황별 선택→팔로우 CTA,45-60초,두 약 카드·수치 자막·체크 표시,화면 자료 중심 릴스,비교축·상황별 체크,중,스마트폰·약물 카드,https://www.instagram.com/yaksa__bubu/reel/DbkMb9DvqfU/,,1,1,2026-08-03,2026-08-03,미측정,약물안전·다이어트,미조사,상,선택 질문 뒤 네 개 비교축으로 처방약 정보를 정리함,김주성: 약물안전; 오약: 복약 상담; 선영: 다이어트,위고비·마운자로·GLP-1·GIP·체중감량,김주성·오약·선영,미사용,,후보,,
FMT-OUTDOOR-4ESSENTIALS-001,상황별 외출 필수 4종 목록형,계절 상황에 맞는 건강 준비물 네 가지와 사용 목적을 한 번에 제시,목록형,0-2초 상황 질문→2-30초 준비물 1-4→30-45초 예방 행동→시즌 CTA,45-60초,4분할 카드·제품 아이콘·주의 자막,제품 화면 중심 릴스,준비물 번호·주의 문구,중,스마트폰·제품 패키지,https://www.instagram.com/yaksa__bubu/reel/DbiSJXbPT5q/,,1,1,2026-08-02,2026-08-02,미측정,육아·피부·약물안전,미조사,상,물놀이 상황과 네 가지 준비물을 연결해 즉시 행동을 제시함,선영: 육아·피부; 오약: 일반약; 공용: 생활건강,물놀이·화상·보습·ORS·자외선차단,선영·오약·공용,미사용,,후보,,
FMT-DOSE-DECISION-TREE-001,철분제 저용량·고용량 판단 트리형,철분제 복용 전 피검사 필요성과 용량 기준을 분기형으로 설명,분기형,0-3초 질문→3-20초 저용량 가능 범위→20-40초 고용량·검사 예외→40-50초 상담 안내,45-60초,용량 숫자·분기 화살표·주의 박스,화면 자료 중심 캐러셀,저용량·고용량 대비,중,스마트폰·용량 카드,https://www.instagram.com/yaksa__bubu/p/Dbj31StTY5W/,,1,1,2026-08-03,2026-08-03,미측정,영양제·약물안전,미조사,상,복용량 질문을 검사 필요성 분기와 안전 안내로 전환함,김주성: 검사·복약 안전; 오약: 복용 상담; 선영: 임신·육아,철분·피검사·페리틴·저용량·고용량,김주성·오약·선영,미사용,,후보,,
FMT-DOSE-LADDER-001,오메가3 용량 사다리형,연령과 건강 목적별 EPA+DHA 용량을 단계별로 비교하고 고함량은 상담으로 연결,용량사다리형,0-2초 용량 질문→2-30초 500·1000·2000·3000mg 단계→30-45초 고함량 주의→상담 CTA,45-60초,용량 숫자 카드·단계 상승 그래픽·주의 박스,화면 자료 중심 캐러셀,단계별 숫자·주의 문구,중,스마트폰·용량 카드,https://www.instagram.com/bbubbu_yaksa/p/DbjzceJvqpf/,,1,1,2026-08-04,2026-08-04,미측정,영양제·약물안전,미조사,상,목적별 용량 사다리와 고함량 상담 조건을 한 화면에서 비교함,김주성: 복약 안전; 오약: 영양제 상담; 선영: 어린이 섭취,오메가3·EPA·DHA·중성지방·출혈경향성·어린이,김주성·오약·선영·공용,미사용,,후보,,
FMT-HEALTHCHECK-ROUTING-001,건강검진 결과 성분 매핑형,건강검진 결과 예시를 성분 조합과 주의사항으로 연결하는 매핑형 카드,매핑형,0-2초 결과 질문→2-35초 결과 8가지와 성분 조합→35-50초 약물·질환 상담→댓글 CTA,45-60초,결과-성분 매트릭스·색상 구분·주의 자막,화면 자료 중심 릴스,결과명·성분명 1:1 대응,중,스마트폰·검진 결과 카드,https://www.instagram.com/bbubbu_yaksa/reel/DbkhdoBRCC9/,,1,1,2026-08-03,2026-08-03,미측정,영양제·약물안전·건강검진,미조사,상,검진 결과를 입력값으로 보여주고 성분 조합과 상담 조건을 함께 제시함,김주성: 검사·복약 안전; 오약: 영양제 상담; 선영: 육아·빈혈,콜레스테롤·혈압·당뇨전단계·빈혈·골밀도·베르베린,김주성·오약·선영·공용,미사용,,후보,,
FMT-MEAL-SWAP-5-001,일상 식사 교체 5가지 양분형,익숙한 식사와 현실적인 대체안을 다섯 쌍으로 보여주는 행동 전환 포맷,양분형,0-2초 식단 질문→2-30초 기존 식사와 대체안 5쌍→30-45초 생활습관 보강→저장·공유 CTA,45-60초,전후 식사 카드·X/O 대비·번호 자막,제품·식사 화면 혼합 릴스,기존/대체 대비·실천 문장,중,스마트폰·식사 소품,https://www.instagram.com/bbubbu_yaksa/reel/DbiWxYXSEZs/,,1,1,2026-08-03,2026-08-03,미측정,다이어트·영양·생활습관,미조사,상,금지 목록 대신 대체 식사를 제시해 실행 가능한 행동으로 전환함,선영: 식사·육아; 김주성: 생활습관·대사; 공용: 건강습관,액상과당·가공식품·식이섬유·단백질·걷기·수면,김주성·오약·선영·공용,미사용,,후보,,
FMT-SYMPTOM-CHECKLIST-7-001,증상 7개 체크리스트형,흩어진 증상을 한 화면에서 체크하게 하고 생활습관 점검과 상담으로 연결,증상체크형,0-2초 증상 질문→2-25초 증상 7개 체크→25-42초 생활습관 관리→42-50초 댓글 키워드·진료 안내,45-60초,증상 체크박스·경고 아이콘·자막 강조,화면 자료 중심 릴스,체크박스·질문형 자막,중,스마트폰·체크리스트 카드,https://www.instagram.com/bbubbu_yaksa/reel/DbiZEY8vScA/,,1,1,2026-08-02,2026-08-02,미측정,다이어트·생활습관,미조사,상,증상 목록을 하나의 체크리스트로 묶어 댓글 참여와 후속 자료 요청을 유도함,김주성: 증상·약물 안전; 오약: 상담형 건강정보; 선영: 생활습관,피로·체중·피부트러블·건조·부종·소화·두통,김주성·오약·선영·공용,미사용,,후보,,
FMT-SUPPLEMENT-RANKING-001,증상별 영양제 성분 순위형,증상 상황에서 관련 성분을 1-3위로 비교하고 제품보다 성분 기준을 강조,순위형,0-2초 증상 질문→2-30초 성분 1-3위→30-42초 제품은 예시라고 정리→상담 CTA,45-60초,순위 숫자·성분 카드·제품 예시·주의 문구,화면 자료 중심 캐러셀,순위 숫자·성분명 대비,중,스마트폰·성분 카드,https://www.instagram.com/dasik.yaksa/p/DbnLUMED-eL/,,1,1,2026-08-04,2026-08-04,미측정,여성건강·영양제,미조사,상,증상 상황과 성분 순위를 결합하고 특정 제품만 정답으로 제시하지 않음,김주성: 복약 안전; 오약: 영양제 상담; 선영: 여성건강,생리통·오메가3·마그네슘·생강·철분,김주성·오약·선영·공용,미사용,,후보,,
FMT-REAL-LIFE-CHECKIN-001,현실공감 운동 인증형,운동을 미루는 개인 경험을 공유하고 함께 인증하는 참여형 포맷,현실공감형,0-3초 실패 고백→3-20초 상황 설명→20-35초 공감 질문→35-45초 인증 CTA,30-45초,일상 사진·말풍선 자막·댓글 참여 유도,일상 사진 중심 캐러셀,실패 고백·질문형 자막,하,스마트폰·일상 사진,https://www.instagram.com/dasik.yaksa/p/Dbmi6qYD6qW/,,1,1,2026-08-04,2026-08-04,미측정,다이어트·생활습관,미조사,상,성공담 대신 실행하지 못한 상황을 공개해 댓글 인증을 유도함,선영: 육아후 체력; 김주성: 생활습관; 공용: 운동 습관,운동·체력·근력·다이어트·육아후 체력,김주성·오약·선영·공용,미사용,,후보,,
FMT-RECOVERY-STACK-001,운동 후 회복 상황조합형,운동 후 수분·근육통·에너지 상황을 성분 조합 세 묶음으로 설명,상황조합형,0-2초 회복 질문→2-25초 상황별 성분 3묶음→25-38초 경험·주의→제품 질문 CTA,30-45초,성분별 카드·경험형 내레이션·반전 자막,화면 자료 중심 릴스,상황명·성분명 1:1 대응,중,스마트폰·성분 카드,https://www.instagram.com/dasik.yaksa/reel/Dbjb3zqzswk/,,1,1,2026-08-03,2026-08-03,미측정,다이어트·영양·운동,미조사,상,운동 후 상황을 세 가지 회복 목적과 성분 조합으로 분리함,김주성: 운동·복약 안전; 오약: 영양제 상담; 선영: 생활습관,ORS·마그네슘·아미노산·비타민B·운동회복,김주성·오약·선영·공용,미사용,,후보,,
FMT-AD-MYTH-BUSTING-001,영양제 광고 문구 오해깨기형,약사배합·약국입점 등 권위 신호를 근거 확인 질문으로 뒤집는 포맷,오해깨기형,0-2초 권위 문구 질문→2-35초 오해 4개 반박→35-50초 성분·근거 확인 CTA,45-60초,오해/사실 대비·경고 아이콘·핵심 문구 강조,화면 자료 중심 릴스,X/O 대비·근거 질문,중,스마트폰·광고 문구 카드,https://www.instagram.com/dasik.yaksa/reel/DbiDDBNPiZr/,,1,1,2026-08-02,2026-08-02,미측정,영양제·광고판별,미조사,상,익숙한 권위 문구를 유형별로 나누고 성분·함량·근거 확인으로 행동을 바꿈,김주성: 약물·광고 판별; 오약: 영양제 상담; 공용: 구매 판단,약사배합·약국입점·유산균·컴플렉스·근거·성분확인,김주성·오약·선영·공용,미사용,,후보,,
FMT-CASE-RESULT-REVIEW-001,개인 사용 결과 후기형,개인 사용 결과와 제품 특징을 함께 보여 주고 구매 행동으로 연결하는 포맷,이용후기형,개인 결과 제시→제품 특징→오픈일·혜택 CTA,30-45초,사용 전후 상황 자막·제품 클로즈업·혜택 배지,제품 사용 장면 중심 릴스,핵심 결과 굵은 자막,중,스마트폰·제품 패키지,https://www.instagram.com/myo_yaksa/reel/DbnSe7bPVMK/,,1,1,2026-08-04,2026-08-04,미측정,미조사,미조사,중,개인 사용 결과를 첫 장면에 제시하고 제품 정보와 구매 CTA를 연결한 사례,약사 개인 경험을 생활용품 사용 후기 구조로 각색; 협찬·공구 표기를 화면에 고정,여성건강·생활용품·사용후기,김주성·오약·선영·공용,미사용,,후보,검토,광고·공구 표기와 개인 경험의 한계를 함께 유지
